autor,texto,likes,fecha,texto_limpio,ubicacion,tokens,sentimiento,probabilidad
@mariomunoz1864,"NUNCA VOTARIA POR EL BASURA DE ALESSANDRI PARA PRESIDENTE, ESE JUNTO A LONGTON SE VENDIERON Y LE ENTREGARON LA PENSION AL MERLUZO FARSANTE 😡😡",0,2026-03-12T11:54:31Z,nunca votaria basura alessandri presidente junto longton vendieron entregaron pension merluzo farsante,sin info,"nunca,votaria,basura,alessandri,presidente,junto,longton,vendieron,entregaron,pension,merluzo,farsante",negativo,0.933974087238312
@mariomunoz1864,"NO HAY PEOR SITUACION QUE UNA LOCA COMUNISTA LENINISTA EGOLATRA Y CON PODER, SERIA FATAL...",0,2026-03-12T11:40:56Z,peor situacion loca comunista leninista egolatra poder seria fatal,sin info,"peor,situacion,loca,comunista,leninista,egolatra,poder,seria,fatal",negativo,0.967222630977631
@mariomunoz1864,LE ROBARON LOS HUEVOS AL AGUILA 😄😄,0,2026-03-12T11:36:22Z,robaron huevos aguila,sin info,"robaron,huevos,aguila",neutro,0.540488243103027
@angerlyparra1921,Soy de Venezuela y apoyo 100% el gobierno de bukele y que se pague la paz como se tenga que pagar… la justicia para el pobre nunca llega.,0,2026-03-12T09:35:24Z,venezuela apoyo 100 gobierno bukele pague paz pagar justicia pobre nunca llega,sin info,"venezuela,apoyo,100,gobierno,bukele,pague,paz,pagar,justicia,pobre,nunca,llega",neutro,0.396476775407791
@PonyBonii,Juan ya terminó la saga del El Salvador?,0,2026-03-12T03:11:08Z,juan terminó saga salvador,El Salvador,"juan,terminó,saga,salvador",neutro,0.898723781108856
@RobertoCristiano-t4m,"Es estado de excepción No de decepción,,Decepcionado me tiene , tratando de desmejorar lo que hizo Bukele en vez de mostrar el país .",0,2026-03-10T14:22:39Z,excepción decepción decepcionado tratando desmejorar hizo bukele vez mostrar país,sin info,"excepción,decepción,decepcionado,tratando,desmejorar,hizo,bukele,vez,mostrar,país",negativo,0.971632063388824
@mariaotiliagarciacolmenare6109,el buculo de mierda me imajino que abra pensado que hay una sola ley la de dios y el ijueputa ya penso que ira al infierno de fuego eterno y  alla se le quemaran tambien las guebas al ijueputa y a de totiarse de la peor manera,0,2026-03-10T13:57:42Z,buculo mierda imajino abra pensado sola ley dios ijueputa penso ira infierno fuego eterno alla quemaran tambien guebas ijueputa totiarse peor manera,sin info,"buculo,mierda,imajino,abra,pensado,sola,ley,dios,ijueputa,penso,ira,infierno,fuego,eterno,alla,quemaran,tambien,guebas,ijueputa,totiarse,peor,manera",negativo,0.958852887153625
@elfoburlon8231,Minuto 9. Vieron las luces en el cielo. Se ven 4. Las que estan mas juntas a la izquierda de la pantalla desaparecen.,0,2026-03-10T04:18:35Z,minuto vieron luces cielo ven estan mas juntas izquierda pantalla desaparecen,sin info,"minuto,vieron,luces,cielo,ven,estan,mas,juntas,izquierda,pantalla,desaparecen",neutro,0.754289329051971
@eduardobarrantestejado9651,Que el futuro del Salvador esté en sus manos y que sea lo que ellos quieran.,3,2026-03-09T19:33:23Z,futuro salvador manos quieran,El Salvador,"futuro,salvador,manos,quieran",positivo,0.720494985580444
@BenjaminGarcía-n6r9g,"mi amigo planeta juan ya el salvador tiene mas de 200 años de independencia ya posee el bicentenario este año cumplimos exactamente 225 años de independencia. 🇸🇻
se logró dicha firma un 15 de septiembre de 1821.",0,2026-03-08T13:07:09Z,amigo planeta juan salvador mas 200 años independencia posee bicentenario año cumplimos exactamente 225 años independencia logró dicha firma septiembre 1821,sin info,"amigo,planeta,juan,salvador,mas,200,años,independencia,posee,bicentenario,año,cumplimos,exactamente,225,años,independencia,logró,dicha,firma,septiembre,1821",positivo,0.548884332180023
@larami9864,"Bukele no serà perfecto, pero lo importante es darse cuenta de lo que se hace mal o no se hace y coregir el tiro. Buen documental.",0,2026-03-07T20:31:21Z,bukele serà perfecto importante darse cuenta hace mal hace coregir tiro buen documental,sin info,"bukele,serà,perfecto,importante,darse,cuenta,hace,mal,hace,coregir,tiro,buen,documental",positivo,0.695615231990814
@ChristianRubilar-c4q,Solo decir que su contenido no es lo que debe ser,0,2026-03-07T17:28:01Z,solo decir contenido debe ser,sin info,"solo,decir,contenido,debe,ser",negativo,0.933371484279633
@ChristianRubilar-c4q,Que pena de creer que su contenido no  está al nivel 😢,0,2026-03-07T17:11:21Z,pena creer contenido nivel,sin info,"pena,creer,contenido,nivel",negativo,0.97664475440979
@chino-aleman9972,https://www.youtube.com/shorts/CQp0HS2_c9I Sobre el Salvador hay mucho que comentar,0,2026-03-07T07:18:12Z,salvador comentar,El Salvador,"salvador,comentar",neutro,0.775806844234467
@DigitalPo,De que opinión dividida hablas? Yo veo una aplastante aprobación a bukele y su gestión,0,2026-03-06T05:16:56Z,opinión dividida hablas veo aplastante aprobación bukele gestión,sin info,"opinión,dividida,hablas,veo,aplastante,aprobación,bukele,gestión",negativo,0.60713142156601
@AD-q8k,"A QUE PRECIO
75 mil muertos en la Guerra civil
350 mil muertos por Los SICOPATAS Enceladus la mayoral en CEcot… y  3 millones de salvadorenos que tubimos que huir del pais a otros paises…a empezar de cero … A ESE PRECIO TENEMOS HOY UN LINDO PAIS LIMPIO. ORDENADO, ORGANIZADO, FLORECIRNDO,, POCO A POVO LEVANTANDOSR DE LAS CENIZAS Y SALIENDO DEL FANGO DONDE NOS DEJARON LOS POLITICOS ANTIGUOS CORRUPTOS…",0,2026-03-06T03:50:49Z,precio mil muertos guerra civil 350 mil muertos sicopatas enceladus mayoral cecot millones salvadorenos tubimos huir pais paises empezar cero precio hoy lindo pais limpio ordenado organizado florecirndo povo levantandosr cenizas saliendo fango dejaron politicos antiguos corruptos,sin info,"precio,mil,muertos,guerra,civil,350,mil,muertos,sicopatas,enceladus,mayoral,cecot,millones,salvadorenos,tubimos,huir,pais,paises,empezar,cero,precio,hoy,lindo,pais,limpio,ordenado,organizado,florecirndo,povo,levantandosr,cenizas,saliendo,fango,dejaron,politicos,antiguos,corruptos",negativo,0.78578245639801
@ElpapaObiWanKenobi,La Paz no tiene precio,0,2026-03-05T22:12:40Z,paz precio,La Paz,"paz,precio",positivo,0.77598375082016
@ElpapaObiWanKenobi,"Nos Independizamos el año 1821, hemos cumplido 205 años.",0,2026-03-05T22:12:04Z,independizamos año 1821 cumplido 205 años,sin info,"independizamos,año,1821,cumplido,205,años",neutro,0.630745351314545
@jalvarenga37,"¿De cuando es este video? Pregunto porque hablo del bicentenario de la independencia de el salvador que se celebrará en el futuro,  pero los 200 años de independencia se celebraron en 2021.",0,2026-03-05T13:41:06Z,video pregunto hablo bicentenario independencia salvador celebrará futuro 200 años independencia celebraron 2021,sin info,"video,pregunto,hablo,bicentenario,independencia,salvador,celebrará,futuro,200,años,independencia,celebraron,2021",neutro,0.878281712532043
@carlossequeira5426,"Todo se ve y suena bien. Definitivamente se respira paz y seguridad en El Salvador. Pero reitero la pregunta que hizo planeta Juan: a costo de qué hoy en día, El Salvador respira paz y seguridad? 

Cuál será el punto de equilibrio para mantener el orden, la seguridad y paz ? 

Se le agradecería a un Salvadoreño que nos deje su comentario.

De lo que sí tenemos certeza es de que, para que la Paz y seguridad continúe en El Salvador el presidente sucesor de Nayib Bukele debe continuar el mismo proceso porque de no hacerlo, el fenómeno de las maras regresará al país. Porque está claro que muchos pandilleros huyeron del país y viven escondidos en algún lugar de la región, esperando el momento para volver a instituir el miedo y la extorsión. 

Y ojo! Siempre deseamos que El Salvador siga respirando Paz y seguridad. No le deseamos ningún mal, pero la escoria de las maras no se quedarán sin vengancer pues es la naturaleza del crimen organizado cuando se hiere su estructura.

Así de simple.
Punto y final.",0,2026-03-05T13:15:41Z,suena bien definitivamente respira paz seguridad salvador reitero pregunta hizo planeta juan costo hoy día salvador respira paz seguridad cuál punto equilibrio mantener orden seguridad paz agradecería salvadoreño deje comentario certeza paz seguridad continúe salvador presidente sucesor nayib bukele debe continuar mismo proceso hacerlo fenómeno maras regresará país claro pandilleros huyeron país viven escondidos algún lugar región esperando momento volver instituir miedo extorsión ojo siempre deseamos salvador siga respirando paz seguridad deseamos ningún mal escoria maras quedarán vengancer pues naturaleza crimen organizado hiere estructura así simple punto final,El Salvador,"suena,bien,definitivamente,respira,paz,seguridad,salvador,reitero,pregunta,hizo,planeta,juan,costo,hoy,día,salvador,respira,paz,seguridad,cuál,punto,equilibrio,mantener,orden,seguridad,paz,agradecería,salvadoreño,deje,comentario,certeza,paz,seguridad,continúe,salvador,presidente,sucesor,nayib,bukele,debe,continuar,mismo,proceso,hacerlo,fenómeno,maras,regresará,país,claro,pandilleros,huyeron,país,viven,escondidos,algún,lugar,región,esperando,momento,volver,instituir,miedo,extorsión,ojo,siempre,deseamos,salvador,siga,respirando,paz,seguridad,deseamos,ningún,mal,escoria,maras,quedarán,vengancer,pues,naturaleza,crimen,organizado,hiere,estructura,así,simple,punto,final",neutro,0.656145095825195
@JAIMEANDRESMURILLO,"Considero que los derechos de los demás terminan donde empiezan los míos y los derechos de los bandidos terminaron cuando acabaron con las vidas y los derechos de los demás, estamos en una sociedad en donde los Zurdos, los progres, comunistas y socialistas defienden y lloran a moco tendido  por los terroristas y bandidos, los derechos humanos solo existen para defender los BANDIDOS, el Salvador es el más claro ejemplo que se pueden poner los bandidos en su lugar y derechos a qué tienen los asesinos cuando no respetaron la vida de nadie, durante más de 25 años de asesinatos, crimenes y violencia jamás se pronunciaron estás ONG de los famosos derechos humanos buenas para nada y justicia ahora que el país está en paz si hablan lo que sabemos.",0,2026-03-05T04:18:31Z,considero derechos demás terminan empiezan derechos bandidos terminaron acabaron vidas derechos demás sociedad zurdos progres comunistas socialistas defienden lloran moco tendido terroristas bandidos derechos humanos solo existen defender bandidos salvador claro ejemplo pueden poner bandidos lugar derechos asesinos respetaron vida nadie años asesinatos crimenes violencia jamás pronunciaron ong famosos derechos humanos buenas justicia ahora país paz hablan sabemos,El Salvador,"considero,derechos,demás,terminan,empiezan,derechos,bandidos,terminaron,acabaron,vidas,derechos,demás,sociedad,zurdos,progres,comunistas,socialistas,defienden,lloran,moco,tendido,terroristas,bandidos,derechos,humanos,solo,existen,defender,bandidos,salvador,claro,ejemplo,pueden,poner,bandidos,lugar,derechos,asesinos,respetaron,vida,nadie,años,asesinatos,crimenes,violencia,jamás,pronunciaron,ong,famosos,derechos,humanos,buenas,justicia,ahora,país,paz,hablan,sabemos",negativo,0.926315426826477
@N.JesusTorres.P,Cómo se llama el fondo de música 🎵 al final del video.,0,2026-03-05T01:30:56Z,cómo llama fondo música final video,sin info,"cómo,llama,fondo,música,final,video",neutro,0.900212645530701
@elgatopanzontrashycovers7774,"Es verdad A TODAS LUCES que la seguridad es el gran logro del actual gobierno (y eso ya es mucho) PERO lo que no se narra en paralelo es que la sociedad Salvadoreña está cada vez más empobrecida (uno de los salarios mínimos más bajos de centro america $365) y que el deterioro y abandono de las ciudades y poblados es evidente, basta con entrar al Hospital general de Santa Ana o a su alcaldía (están maquillados por fuera y destruidos por dentro) y esa justamente es la política de este gobierno ""APARENTAR""... ellos proyectan un desarrollo y estilo de vida totalmente ajeno a la realidad nacional: ¨la pobreza y la delincuencia caminan de la mano, un pueblo que permanezca pobre está condenado a permanecer también en conflicto""  con lo cual, al terminar el ""estado excepción""  las pandillas y grupos delictivos renacerán,  no porque los Salvadoreños seamos malas personas, sino porque la rais que crea delincuencia nunca fue erradicada.  ""Una paz sostenida a punta de pistola no es una paz verdadera""",0,2026-03-03T16:05:09Z,verdad todas luces seguridad gran logro actual gobierno narra paralelo sociedad salvadoreña cada vez empobrecida salarios mínimos bajos centro america 365 deterioro abandono ciudades poblados evidente basta entrar hospital general santa ana alcaldía maquillados destruidos dentro justamente política gobierno aparentar proyectan desarrollo estilo vida totalmente ajeno realidad nacional pobreza delincuencia caminan mano pueblo permanezca pobre condenado permanecer conflicto terminar excepción pandillas grupos delictivos renacerán salvadoreños malas personas sino rais crea delincuencia nunca erradicada paz sostenida punta pistola paz verdadera,Santa Ana,"verdad,todas,luces,seguridad,gran,logro,actual,gobierno,narra,paralelo,sociedad,salvadoreña,cada,vez,empobrecida,salarios,mínimos,bajos,centro,america,365,deterioro,abandono,ciudades,poblados,evidente,basta,entrar,hospital,general,santa,ana,alcaldía,maquillados,destruidos,dentro,justamente,política,gobierno,aparentar,proyectan,desarrollo,estilo,vida,totalmente,ajeno,realidad,nacional,pobreza,delincuencia,caminan,mano,pueblo,permanezca,pobre,condenado,permanecer,conflicto,terminar,excepción,pandillas,grupos,delictivos,renacerán,salvadoreños,malas,personas,sino,rais,crea,delincuencia,nunca,erradicada,paz,sostenida,punta,pistola,paz,verdadera",negativo,0.957984328269958
@IsraelEscobar-l3g,Casi No hay orificios altos en El Salvador,0,2026-03-03T15:30:04Z,casi orificios altos salvador,El Salvador,"casi,orificios,altos,salvador",negativo,0.550521612167358
@pamkhé34,"Creo que el estado de decepción justo aplicó la de maquiavelo, sí, si juzgamos desde los derechos humanos no suena tan bien, pero priorizaron los derechos humanos de los que no cometian delitos y trataban de sobrevivir que de los que no respetaban los derechos humanos de los demás. Sumamente interesante",0,2026-03-03T13:28:15Z,creo decepción justo aplicó maquiavelo juzgamos derechos humanos suena tan bien priorizaron derechos humanos cometian delitos trataban sobrevivir respetaban derechos humanos demás sumamente interesante,sin info,"creo,decepción,justo,aplicó,maquiavelo,juzgamos,derechos,humanos,suena,tan,bien,priorizaron,derechos,humanos,cometian,delitos,trataban,sobrevivir,respetaban,derechos,humanos,demás,sumamente,interesante",negativo,0.836014866828918
@lilianatierradentro4966,"Bukele deberia de quedarse para siempre.
🙏🙏🙂",0,2026-03-03T01:55:47Z,bukele deberia quedarse siempre,sin info,"bukele,deberia,quedarse,siempre",neutro,0.695699453353882
@alvarosesin5379,"Juan, le felicito.  Su canal PROMUEVE EL PENSAMIENTO CRITICO... Usted muestra la realidad y que el receptor en forma libre forme su criterio.  Yo le digo que de conocer EL Salvador por mas de TRES DECADAS... Hoy es MUY SUPERIOR a todo el tiempo pasado... El precio que pago el pueblo con la consolidación de las PANDILLAS fue MONUMENTAL.  Nunca mas regresar a ese oscuro pasado.  DIOS guarda de El Salvador HOY... cuando su pueblo le rinde LA GLORIA, iniciando por su PRESIDENTE Y SU FAMILIA.   Ejemplo digno de imitar por muchos países del MUNDO.   Bendiciones",0,2026-03-02T19:43:03Z,juan felicito canal promueve pensamiento critico usted muestra realidad receptor forma libre forme criterio digo conocer salvador mas tres decadas hoy superior tiempo pasado precio pago pueblo consolidación pandillas monumental nunca mas regresar oscuro pasado dios guarda salvador hoy pueblo rinde gloria iniciando presidente familia ejemplo digno imitar países mundo bendiciones,El Salvador,"juan,felicito,canal,promueve,pensamiento,critico,usted,muestra,realidad,receptor,forma,libre,forme,criterio,digo,conocer,salvador,mas,tres,decadas,hoy,superior,tiempo,pasado,precio,pago,pueblo,consolidación,pandillas,monumental,nunca,mas,regresar,oscuro,pasado,dios,guarda,salvador,hoy,pueblo,rinde,gloria,iniciando,presidente,familia,ejemplo,digno,imitar,países,mundo,bendiciones",positivo,0.828768908977509
@carlosrendon6400,"Soy guanaco y estamos mas felices q nunca, gracias al señor presi",0,2026-03-02T11:56:26Z,guanaco mas felices nunca gracias señor presi,sin info,"guanaco,mas,felices,nunca,gracias,señor,presi",positivo,0.924884617328644
@EnriqueHernandez-r3z,"aun recuerdo que en un 24 de diciembre haya por el lejano 2015  estaba en la casa de un amigo, por ir a comprar una  coca-cola  y se cruzo una calle "" contraria "" le pegaron 2 tiros por cruzarse una calle, en mi vida pensé que vería la paz en mi país y no entiendo como hay gente que odia eso y se preocupa por los derechos de los mareros",0,2026-03-02T09:00:58Z,aun recuerdo diciembre lejano 2015 casa amigo comprar coca cola cruzo calle contraria pegaron tiros cruzarse calle vida pensé vería paz país entiendo gente odia preocupa derechos mareros,sin info,"aun,recuerdo,diciembre,lejano,2015,casa,amigo,comprar,coca,cola,cruzo,calle,contraria,pegaron,tiros,cruzarse,calle,vida,pensé,vería,paz,país,entiendo,gente,odia,preocupa,derechos,mareros",negativo,0.940507888793945
@javierduran6768,"Amigo : La Paz ,la libertad, que se vive. Y se siente en El Salvador: no tiene precio!",0,2026-03-02T05:27:37Z,amigo paz libertad vive salvador precio,"La Paz, El Salvador","amigo,paz,libertad,vive,salvador,precio",positivo,0.955435276031494
@avargass007,Iría solo por la biblioteca 😂😂,0,2026-03-02T02:46:09Z,iría solo biblioteca,sin info,"iría,solo,biblioteca",neutro,0.792092502117157
@Diegolopez-bl1jc,"Pregúntale a una niña q claramente no vivió eso , pues es razonable su respuesta sencilla, claramente es un logro y es un país q renace , pero como dices a cambio de q! Ya lo sabemos pero da susto decirlo",0,2026-03-02T00:41:28Z,pregúntale niña claramente vivió pues razonable respuesta sencilla claramente logro país renace dices cambio sabemos susto decirlo,sin info,"pregúntale,niña,claramente,vivió,pues,razonable,respuesta,sencilla,claramente,logro,país,renace,dices,cambio,sabemos,susto,decirlo",neutro,0.706372499465942
@DjkenisLMDM,Bendiciones para todos los salvadoreños 😁👍🇻🇪🌹,0,2026-03-02T00:09:25Z,bendiciones salvadoreños,sin info,"bendiciones,salvadoreños",neutro,0.561024725437164
@salet29,Me alegra que un país sumido oscuridad salió de esa oscuridad ahora tiene un futuro brillante .,0,2026-03-01T22:44:49Z,alegra país sumido oscuridad salió oscuridad ahora futuro brillante,sin info,"alegra,país,sumido,oscuridad,salió,oscuridad,ahora,futuro,brillante",positivo,0.925991415977478
@Hector1630,"Los derechos humanos son una mentira son el comunismo vestido de “decencia” son los alcahuetas del mal, primero los derechos humanos de la gente de bien y por allá de último el de los bandidos",1,2026-03-01T04:54:30Z,derechos humanos mentira comunismo vestido decencia alcahuetas mal primero derechos humanos gente bien allá último bandidos,sin info,"derechos,humanos,mentira,comunismo,vestido,decencia,alcahuetas,mal,primero,derechos,humanos,gente,bien,allá,último,bandidos",negativo,0.943812966346741
@Hector1630,"Allá los ciudadanos son más inteligentes al votar por Bukele no como la cantidad de asnos que hay aquí en mi Colombia que por el contrario le están entregando poco a poco el país a los delincuentes de la izquierda, Bukele si es un verdadero patriota aquí en Colombia tenemos de candidato a Abelardo de la Espriella nuestro futuro Bukele pero la izquierda infame se está valiendo de miles de artimañas y engaños para enquistarse en el poder y así darle más largas a la delincuencia quienes son amigos del gobierno actual. En fin que Dios nos bendiga y nos dé la victoria con Abelardo",0,2026-03-01T04:50:12Z,allá ciudadanos inteligentes votar bukele cantidad asnos aquí colombia contrario entregando país delincuentes izquierda bukele verdadero patriota aquí colombia candidato abelardo espriella futuro bukele izquierda infame valiendo miles artimañas engaños enquistarse poder así darle largas delincuencia amigos gobierno actual fin dios bendiga victoria abelardo,Colombia,"allá,ciudadanos,inteligentes,votar,bukele,cantidad,asnos,aquí,colombia,contrario,entregando,país,delincuentes,izquierda,bukele,verdadero,patriota,aquí,colombia,candidato,abelardo,espriella,futuro,bukele,izquierda,infame,valiendo,miles,artimañas,engaños,enquistarse,poder,así,darle,largas,delincuencia,amigos,gobierno,actual,fin,dios,bendiga,victoria,abelardo",negativo,0.903635203838348
@sergioschincariol8337,"No entiendo lo que intentas plantear, quieres decir que era mejor la situación anterior del Salvador? No te parece que el precio que se pagó por el cambio valió la pena? Tal vez unos minutos a solas en las calles con esos muchachos que visitaste en el CECOT te aclaren tus dudas.",1,2026-03-01T02:50:49Z,entiendo intentas plantear quieres decir mejor situación anterior salvador parece precio pagó cambio valió pena tal vez minutos solas calles muchachos visitaste cecot aclaren dudas,El Salvador,"entiendo,intentas,plantear,quieres,decir,mejor,situación,anterior,salvador,parece,precio,pagó,cambio,valió,pena,tal,vez,minutos,solas,calles,muchachos,visitaste,cecot,aclaren,dudas",negativo,0.746595978736877
@duvanballesteros4932,"Envidia de la buena, que bueno que en mi país (Colombia) ubiera un presidente así, con los pantalones bien puestos, por que los últimos presidentes que hemos tenido han gobernado con falda, y ni se diga de Petro, él gobierna con mini falda.",0,2026-02-28T23:51:10Z,envidia buena bueno país colombia ubiera presidente así pantalones bien puestos últimos presidentes gobernado falda diga petro gobierna mini falda,Colombia,"envidia,buena,bueno,país,colombia,ubiera,presidente,así,pantalones,bien,puestos,últimos,presidentes,gobernado,falda,diga,petro,gobierna,mini,falda",positivo,0.90524435043335
@YaquelinMontufar,Yo viví en tiempo de pandillas y era muy peligroso el centro  yo vivo en USA hace muchos anos y se Mira totalmente diferente,0,2026-02-28T22:37:07Z,viví tiempo pandillas peligroso centro vivo usa hace anos mira totalmente diferente,sin info,"viví,tiempo,pandillas,peligroso,centro,vivo,usa,hace,anos,mira,totalmente,diferente",neutro,0.560857534408569
@duoazdelunadiaz191,"Para eso es que elegimos nuestros presidentes ✌🏻🗳️🙏🏼🙌🏻para hacer las cosas muy bien el  🎉"" cambio"" debería ser así el orden genera progreso , que los impuestos sean bien utilizados 🧐invertidos , el fin de la vida es vivir bien en paz y armonía  😍respetando a quien piensa diferente, ojalá suceda esto en nuestro País 🇨🇴💔 Colombia necesitamos nuestro ✨ "" país Milagro""✨ que nos merecemos 💖💯, muchas gracias lindo recorrido Juan💪🏻👌🏻👆🏻🫶🏻👍🏻👏🏻👏🏻👏🏻👏🏻",0,2026-02-28T17:20:50Z,elegimos presidentes hacer cosas bien cambio debería ser así orden genera progreso impuestos bien utilizados invertidos fin vida vivir bien paz armonía respetando piensa diferente ojalá suceda país colombia necesitamos país milagro merecemos muchas gracias lindo recorrido juan,Colombia,"elegimos,presidentes,hacer,cosas,bien,cambio,debería,ser,así,orden,genera,progreso,impuestos,bien,utilizados,invertidos,fin,vida,vivir,bien,paz,armonía,respetando,piensa,diferente,ojalá,suceda,país,colombia,necesitamos,país,milagro,merecemos,muchas,gracias,lindo,recorrido,juan",positivo,0.545043528079987
@ashfernandez6387,Bukele se ve que es un hombre iluminado. Ojalá gobierne muchos años. Quien sabe lo que pasará después.,0,2026-02-28T13:55:54Z,bukele hombre iluminado ojalá gobierne años sabe pasará después,sin info,"bukele,hombre,iluminado,ojalá,gobierne,años,sabe,pasará,después",positivo,0.892471849918365
@SilviaMorales-yg7kv,Tal vez no todo . Pero bastante SI,0,2026-02-28T12:06:45Z,tal vez bastante,sin info,"tal,vez,bastante",neutro,0.805507957935333
@MCSKT,"Me siento orgulloso de ser salvadoreño. Antes iba a visitar 1 vez cada 6 años, ahora 2 veces al año.",0,2026-02-28T02:53:50Z,siento orgulloso ser salvadoreño iba visitar vez cada años ahora veces año,sin info,"siento,orgulloso,ser,salvadoreño,iba,visitar,vez,cada,años,ahora,veces,año",positivo,0.831770777702332
@Marimuñosreyes,me gustan tus videos parcero tienes q venir a Honduras también hay lugares muy bonitos,0,2026-02-27T22:54:45Z,gustan videos parcero venir honduras lugares bonitos,Honduras,"gustan,videos,parcero,venir,honduras,lugares,bonitos",positivo,0.978929579257965
@pi3080,"No hay debate. 
El criminal al hoyo.",0,2026-02-27T21:21:04Z,debate criminal hoyo,sin info,"debate,criminal,hoyo",negativo,0.693909347057343
